,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
96,0,2,0.000319,ACOT,0.73,169912.0,0.5670000000000001,8.54e-06,0.105,-8.085,0.0587,119.99700000000001,0.171,62.0
97,0,72,0.006557275,AFI,0.390138889,187259.2222,0.9057222220000001,0.031634462,0.222552778,-5.111388889,0.087366667,127.02575,0.44433888899999996,42.22222222
98,0,2,0.262,AILEE,0.606,232333.0,0.872,0.0,0.125,-2.114,0.0519,129.965,0.226,58.0
99,1,5,0.5154,AJ Rafael,0.68,208678.0,0.4596,0.0,0.13935999999999998,-6.3206,0.03478,113.7878,0.6424,61.6
100,1,18,0.230612667,AJJ,0.524,155697.6667,0.6331111110000001,7.22e-06,0.292277778,-6.656000000000001,0.067033333,105.0102222,0.764222222,48.44444444
101,1,59,0.17247986399999998,AJR,0.605389831,216583.2034,0.662745763,0.000138779,0.167018644,-5.570847457999999,0.06818983099999999,114.03784750000001,0.525457627,57.644067799999995
102,1,1,0.282,AL-X The Great,0.797,173558.0,0.518,0.0,0.0954,-12.625,0.281,139.988,0.7170000000000001,54.0
103,0,2,0.0989,ALI,0.578,89667.0,0.875,0.0,0.35100000000000003,-2.1319999999999997,0.0642,133.964,0.617,64.0
104,1,1,0.271,ALLBLACK,0.922,210338.0,0.703,0.0,0.22699999999999998,-4.652,0.259,104.979,0.685,58.0
105,1,1,0.36200000000000004,ALO,0.815,218973.0,0.41200000000000003,0.00047999999999999996,0.129,-9.28,0.0438,87.98299999999999,0.669,57.0
106,1,2,0.43,AOA,0.758,179808.0,0.858,0.0,0.201,-2.502,0.0464,119.992,0.963,56.0
107,1,2,0.0268,ARTY,0.43799999999999994,224520.0,0.856,6.27e-06,0.375,-4.158,0.0584,127.991,0.49,57.0
108,0,6,0.102866667,ATB,0.680333333,225377.6667,0.918666667,0.76,0.189266667,-6.191666667000001,0.0397,131.47899999999998,0.7436666670000001,58.0
109,0,2,0.0503,ATEEZ,0.5720000000000001,199013.0,0.9640000000000001,0.0,0.37200000000000005,-1.949,0.12300000000000001,129.97899999999998,0.519,68.0
110,1,10,0.7166,AURORA,0.431,211047.0,0.27652,0.000141274,0.1402,-11.0328,0.0485,122.56299999999999,0.27399999999999997,61.6
111,1,2,0.0351,AViVA,0.5489999999999999,228904.0,0.6559999999999999,1.19e-06,0.129,-6.515,0.0438,180.043,0.594,62.0
112,0,2,0.13699999999999998,AWAY,0.72,212571.0,0.633,0.00157,0.122,-5.212000000000001,0.0633,140.02700000000002,0.634,58.0
