genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['florida rap', 'vapor trap']",9lokknine,0.033133333,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,67.66666667,0,0,6
['emo rap'],9tails,0.404,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,66,11,1,2
"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",? & The Mysterians,0.218107778,0.632333333,146582.3333,0.670888889,0.174584277,0.151988889,-8.077222222,0.042188889,111.3006667,0.805888889,25.11111111,2,1,18
"['melodic rap', 'pop rap', 'rap', 'trap']",A Boogie Wit da Hoodie,0.2533864,0.730093333,200451.88,0.62684,1.62E-06,0.164902667,-7.011053333,0.229846667,118.7338667,0.500733333,66.64,5,0,75
"['metalcore', 'pop punk', 'screamo']",A Day To Remember,0.026354052,0.402596154,207746.1538,0.916730769,7.33E-05,0.285265385,-4.427519231,0.111317308,144.2214615,0.458826923,53.42307692,0,1,104
"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']",A Fine Frenzy,0.947,0.549,268800,0.24,0,0.106,-7.778,0.0338,119.58,0.167,54,0,1,2
"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",A Great Big World,0.6258,0.4695,243813.5,0.374625,0.000201443,0.113625,-8.29675,0.043625,119.454125,0.22725,59.125,2,1,8
"['doo-wop', 'rhythm and blues']",A Heart Beats,0.854,0.507,146173,0.255,0,0.172,-11.857,0.0651,97.231,0.438,37,7,1,2
"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",A Perfect Circle,0.109087908,0.519525424,251080.3898,0.622520339,0.296638305,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.47457627,6,1,59
"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",A R I Z O N A,0.1363,0.676,182859.6667,0.612666667,0.116733333,0.1313,-8.663333333,0.060333333,101.286,0.228,66.33333333,2,1,6
"['metalcore', 'pixie', 'post-screamo', 'screamo']",A Skylit Drive,0.00121075,0.25275,210366.75,0.9275,0.000350395,0.2539,-3.42325,0.094425,123.785,0.306,45,10,1,8
"['boogie', 'disco', 'funk', 'post-disco']",A Taste Of Honey,0.326025,0.75475,280870,0.53875,0.000627475,0.121125,-9.2815,0.057625,126.93325,0.749,45.75,2,0,8
"['bubblegum dance', 'europop']",A Touch Of Class,0.31425,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.456,0.605,63.75,9,0,4
"['canadian indigenous', 'canadian indigenous hip hop', 'escape room', 'ottawa rap']",A Tribe Called Red,0.023,0.658,219853,0.573,0.0613,0.0981,-5.408,0.107,133.442,0.583,52,3,0,2
