mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,alternative metal,0.058247126,0.458828115,245465.7618,0.830801209,0.10105936,0.210029773,-5.887320968,0.082687658,126.2008731,0.415303693,47.29666727,2
1,alternative pop,0.110067832,0.455066258,221230.531,0.759271015,0.21461553,0.172594815,-8.791657368,0.050904131,128.5739188,0.547557736,37.63709806,9
1,alternative pop rock,0.170467446,0.619229437,200145.9481,0.720244156,1.21E-05,0.18758303,-4.751005195,0.068705931,116.9995489,0.643760173,54.08095238,10
1,alternative r&b,0.307143641,0.662276883,232475.3739,0.544285719,0.021971325,0.172005752,-8.077162285,0.131475259,114.0929037,0.449027212,58.4841941,7
1,alternative rock,0.157058719,0.478342428,240339.4412,0.711732231,0.165487829,0.190390481,-8.30564627,0.062274001,125.4851876,0.505840296,42.72960826,7
1,alternative roots rock,0.269121737,0.493342105,253674,0.618157895,0.107208088,0.169634211,-7.272171053,0.058494737,113.2267895,0.426184211,45.76315789,9
0,ambeat,0.443113993,0.748507326,234658.4945,0.65407326,0.168069788,0.139291758,-7.358032967,0.138791941,98.54111355,0.692760073,49.7014652,1
1,ambient,0.673274347,0.335075295,350676.8254,0.276297458,0.752905602,0.12553577,-19.52910198,0.043267817,107.2875265,0.191482076,43.24113653,11
1,ambient black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,43.83333333,4
1,ambient folk,0.644024245,0.528597293,229449.8165,0.378612308,0.154372716,0.158806895,-12.00958618,0.058655456,114.2455349,0.307602137,44.30612536,9
0,ambient house,0.06545,0.636,294900,0.81225,0.1646,0.29,-12.18375,0.045725,115.005,0.4335,40.5,6
1,ambient idm,0.4775,0.3505,364264,0.5795,0.46250715,0.1205,-10.51,0.0575,150.4915,0.2385,54,8
1,ambient industrial,0.0431,0.746,234013,0.723,0.82,0.0849,-15.59,0.0457,126.575,0.92,28,0
1,ambient pop,0.744708333,0.276416667,228796.4667,0.21773,0.7208758,0.126523333,-17.869,0.036085,95.92368333,0.168668333,44.58333333,2
0,ambient techno,0.12025,0.726,361744.6667,0.558833333,0.3489,0.0939,-13.13666667,0.0317,122.8926667,0.810416667,36.83333333,1
1,ambient worship,0.510917222,0.337427778,301781.8653,0.461504167,0.232129889,0.11332625,-9.622626389,0.037489306,104.6109806,0.215753333,54.90972222,6
1,american 21st century classical,0.987,0.15565,254533,0.02395,0.8915,0.0968,-29.108,0.0451,69.1665,0.04755,46.5,1
1,american choir,0.895728896,0.229740742,212363.2003,0.209583198,0.155397601,0.336345079,-19.87788389,0.096861842,103.7585325,0.195925209,23.71227785,6
1,american classical piano,0.976678152,0.355354722,298995.267,0.096570714,0.811131697,0.136387978,-25.65141647,0.046698521,104.7392025,0.246659711,24.39556906,8
1,american contemporary classical,0.938315815,0.318149665,331714.7432,0.111088435,0.481779547,0.142994198,-25.93967104,0.051622114,99.85311179,0.267308952,30.58515625,9
1,american early music,0.995,0.1715,160866.5,0.06905,0.0415615,0.121,-26.5245,0.05225,168.6375,0.0923,41,6
1,american folk revival,0.849475422,0.535121137,170889.9108,0.231009014,0.03720948,0.164814283,-15.39047259,0.076071377,112.6441458,0.524971353,18.69569121,2
